complaint_id,date_received,company,issue,sub_product,narrative
8100483,2024-01-03T11:35:41.000Z,Bright Capital Inc,Confusing or misleading advertising or marketing,Credit repair services,Bright Money charged me {$89.00} for fraudulent membership to their financial services that were never provided. Charged to my checking account on XX/XX/2024.
8125200,2024-01-09T02:42:13.000Z,Ocwen Financial Corporation,Confusing or missing disclosures,Mortgage modification or foreclosure avoidance,"On the XXXX of XXXX we were served with a lawsuit from Wells Fargo Bank , National Association, As Trustee for XXXX XXXX XXXX XXXX  XXXX, Mortgage Pass-Through Certificates, Series XXXX. Also XXXX XXXX is being sued with us. 
Case # XXXX XXXX XXXX XXXX XXXX XXXX. Dated XX/XX/2023. 
Someone ask if we had a second mortgage and we never have. Was told it may be a Zombie Mortgage. The official who dropped off the paperwork told us we have 13 days!! Right before the holidays when people are off and dont come back to work until after XXXX XXXX. 
Im a XXXX XXXX citizen."
8156897,2024-01-15T17:47:11.000Z,"Portfolio Recovery Associates, LLC",Unauthorized withdrawals or charges,Debt settlement,"PORTFOLIO RECOVERY ASSOCIATES , LLC violate my privacy in the Privacy act of 1974 making false and misleading claims on my credit report making me suffer in emotional damage, embarrassment and humiliation when applying for service and benefits with other businesses also the account that PORTFOLIO RECOVERY ASSOCIATES , LLC purchased was consider a charge off according to the IRS under section 166 Deductions For Bad Debts and 26 CFR 1. 166-2 Evidence of worthlessness which means that it is a certificate of Indebtedness and must be remove my credit report and failed to do so."
8191965,2024-01-20T22:25:53.000Z,Experian Information Solutions Inc.,Problem with customer service,Credit repair services,"I made a free membership on experian to check my credit but now I'd like to cancel it because I get numerous useless alerts that can't be turned off and I'm concerned about them selling my data. They make it impossible to cancel, there's no method to do this online and no option to request it via their email form. I've requested more information by selecting "" other '' on their email form but I haven't received any help. Incidentally if you select "" cancellation '' on the form it refuses to let you submit it."
8224405,2024-01-25T19:33:08.000Z,"BANK OF AMERICA, NATIONAL ASSOCIATION",Unauthorized withdrawals or charges,Debt settlement,I was sick and I couldn't work for a year they didn't close my account
8232543,2024-01-26T21:09:46.000Z,"John C. Heath, Attorney at Law, PLLC",Charged upfront or unexpected fees,Credit repair services,I was charged excessive fees constantly by XXXX law for credit repair!!!!
8232776,2024-01-27T00:34:20.000Z,"BANK OF AMERICA, NATIONAL ASSOCIATION",Unauthorized withdrawals or charges,Debt settlement,"Today, Friday, XX/XX/year> at XXXX XXXX, I received a message from Banco de Amrica, arguing that I owe a debt on their company. I currently do not have an ID, I am in the process of being granted asylum before immigration. Subsequently, I went to the agency to report the fraud of the message. Then to the police agency in XXXX, he told me to only block the number that the fraud attempt is feasible. I attach the message sent to my cell phone. 
I attach the message sent to my cell phone : CA EDD ACH created a group in XXXX XXXX with you and 10 other participants. Reply to chat or # help for tool tips. 

Adding this contact card to your contacts will help you identify the group profile. 
D :, XXXX XXXX.. eddpreactiveprocessing.glitch.me"
8247250,2024-01-29T18:11:09.000Z,Experian Information Solutions Inc.,Confusing or missing disclosures,Credit repair services,"To Whom It May Concern : I recently received a copy of my credit report. The credit report showed unfair credits acts by companies that I do not recall authorizing. I understand that they shouldn't be allowed to put an inquiry on my file unless I have authorized it. Please have this inquiry removed from my credit file because it is making it very difficult for me to acquire credit 16 CFR 313 433. 2, 16 CFR 313 433.3, 16 CFR 433.1. Par the FCRCA as a federal protect consumer I am now opt-out of any and all authorization I the consumer may have given you written unwritten verbal and nonverbal and it is infective immediately and indefinitely stop reporting the utilization but keep it usage on the report par 15 U.S.C. 6802, 15 U.S.C. 6803, 15 U.S.C. 6804, 15 U.S.C. 6805 I've listed the third party companies names They are a third party companies, It is the policy of the Congress that each financial institution has an affirmative and continuing obligation to respect the privacy of its customers and to protect the security and confidentiality of those customers nonpublic personal information. I want to be compensated for the violations {$1000.00} per violation and Pain And Suffering, Humiliation."
8259075,2024-01-31T22:54:10.000Z,"ClearOne Advantage, LLC",Didn't provide services promised,Debt settlement,"On XX/XX/XXXX, I signed up with Clear One Advantage, a debt consolidation company, after a friend recommended it. The representative suggested including debts with the highest balances. I agreed, thinking Clear One Advantage would negotiate with my creditors to settle for less than what I owed. 

From XX/XX/XXXXXXXX  to XX/XX/XXXX, I made two monthly payments of {$290.00} ( {$590.00} in total ). Despite this, I never received any communication from Clear One Advantage about updating the account numbers we initially agreed upon. I was also not informed about the possibility of a 1099-C filing, which could result in the creditor taxing me on the settlements. One of the 1099-C forms I received didn't match the account number in my agreement, and I never got an amendment to correct it. 

Now, as I review my creditor settlements, I can see various details like the balance at settlement, my enrolled balance, the settlement amount, Clear One Advantage 's fee, the total settlement cost with fees, and my overall savings. What wasn't disclosed to me was the potential tax implications, especially considering the high balances, which could lead to creditors taxing me through 1099-C filings. If I had known about these tax implications, I might not have chosen debt consolidation. 

I believe it's crucial for Clear One Advantage to clearly inform debtors that creditors can tax them through 1099-C filings, especially if they have high balances. 

In hindsight, I believe I was mislead and I could have considered better options, especially since none of my accounts were in default when I joined Clear One Advantage."
8282794,2024-02-06T05:51:06.000Z,Citizens Debt relief LLC,Didn't provide services promised,Debt settlement,"I have been in the debt relief process for about 8 months. My accounts are supposed to be negotiated within the XXXX month timeframe as they mention multiple times. They sometimes send a statement that just show my accounts are pending. I have put close to $ XXXX into an account that I have also ask to get the contact information so I can make sure my money is still there. I can not get any answers and now I have stopped paying my debt for the 8 months, at their direction, and credit is poor or worse. The money I have spent could have kept my accounts at least in decent standing. They have even offered "" early graduation '' by providing a loan to pay off everything after 6 months and no word. I'm surprised my creditors haven't sent me to collections yet, or worse."
8378760,2024-02-19T22:35:20.000Z,FREEDOM FINANCIAL NETWORK,Didn't provide services promised,Debt settlement,I signed up with Freedom Debt Relief and have been paying them {$400.00} a month. They have not done anything to settle any of my debts and won't respond to my emails or answer the phone now. Their dashboard doesn't seem to be working online. I started this in XX/XX/year>.
8423181,2024-02-27T01:27:52.000Z,CL Holdings LLC,Unauthorized withdrawals or charges,Debt settlement,Jefferson Capital Systems put a collection on behalf of XXXX. I do not have any account or affiliations with XXXX whatsoever. It may have been that my social security was used without permission.
8421824,2024-02-27T04:22:02.000Z,"Bread Financial Holdings, Inc.",Confusing or misleading advertising or marketing,Debt settlement,"On XX/XX/2023 I purchased a product at XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, CA XXXX, and I applied a Kay XXXX  Credit Card to purchase the product at the cost of {$1400.00} in the store. The sales associate told me that the credit card payment will be no interest charge. And I believed and was not aware of the no interest charge period. After 12 months, and I see there is an accumulated interest charge on the credit card statement, and I inquired the credit card company said the interest is accumulated at once at the time of 12 months after the first day purchase. And I was totally not aware of the promotion terms, and purchased the product by incomplete or inaccurate disclosure of credit card term."
8439542,2024-02-29T01:35:35.000Z,"Rowland Avenue Management, Inc. A/KA Columbia Debt Recovery, LLC d/b/a Genesis",Unauthorized withdrawals or charges,Debt settlement,"The company sent me a document with a photoshopped signature that was not the signature of me the agent, principle and living soul. They refuse to send me original documents and validation to proof of claim."
8452023,2024-03-02T04:52:24.000Z,"BANK OF AMERICA, NATIONAL ASSOCIATION",Unauthorized withdrawals or charges,Debt settlement,"I fell victim to a scam where the scammer obtained my card number and security code, making unauthorized purchases. They spent {$140.00} at XXXX 's and {$230.00} at XXXX in XXXX XXXX on XX/XX/XXXX, total of {$380.00} withdrawn from my BofA student account."
8465261,2024-03-03T23:14:05.000Z,"Halsted Financial Services, LLC.",Unauthorized withdrawals or charges,Debt settlement,On XX/XX/2024 Halstead financial did an unauthorized charge to my debit card ending in XXXX in the amount of {$120.00}. The agreement to pay back Halstead Financial did not include automatic payments from this debit card. There are no written agreements to charge this card for payments without my authorization.
8468979,2024-03-04T17:01:39.000Z,Experian Information Solutions Inc.,Confusing or misleading advertising or marketing,Credit repair services,On many occasions Experian App tool for credit fixes and monitoring has sent me pre approvals for credit cards and when I apply I am not approved. But unfortunately my credit soft pulls add up and eventually my score is diminished. They personally know I am not approved and they continue to trick me into thinking my credit is good.when it's not. I have tried to resolve this issue by unsubscribing from the emails. I had also subscribed to the sites premium service for several months with hope to repair my credit with no resolve.
8471301,2024-03-04T20:26:24.000Z,Chime Financial Inc,Problem with customer service,Debt settlement,"Chime financial return my direct deposit without any explanation very poor customer service every different person was giving me deferent explanation, they mentally and fanancialy abused me, left me without any money I have no money to pay rent and to buy food! I have to wait other XXXX weeks for the process to get my money back I am facing aviation becouse of Chime."
8499927,2024-03-07T21:03:16.000Z,ENCORE CAPITAL GROUP INC.,Confusing or missing disclosures,Debt settlement,"I am writing to dispute the handling of my credit account information as reported by your company to the major credit bureaus. It has come to my attention that there are inaccuracies in the reporting, and it appears that Midland Credit Management may not have properly verified this information, which I believe is a violation of my rights under the Fair Credit Reporting Act ( FCRA ). 

Specifically, under the FCRA, Section 611 ( 15 U.S.C. 1681i ), I have the right to challenge any incomplete or inaccurate information in my credit report, and your company is required to conduct a proper investigation upon receiving my dispute. 

Furthermore, the FCRA requires that any entity reporting to the credit bureaus must ensure that the information they submit is accurate, complete, and verifiable. If your company can not verify the debt, then it should not be reported, as stipulated under FCRA, Section 623 ( a ) ( 1 ) ( A ). 

I formally request that Midland Credit Management provides me with the documentation that verifies the debt in question, including the original contract bearing my signature, the ledger showing the creation of the debt, and any documents that demonstrate transfer of ownership of the debt to Midland Credit Management."
8509228,2024-03-08T15:49:23.000Z,"Paypal Holdings, Inc",Confusing or missing disclosures,Credit repair services,"I do not have a PayPal account and I kept getting Invoices to pay. I have ask them to stop, but to no avail."
8545435,2024-03-14T15:45:32.000Z,ENCORE CAPITAL GROUP INC.,Confusing or missing disclosures,Debt settlement,"I never applied for XXXX XXXX XXXX on XXXX XXXX, 2023 on my credit report it says it was open that date and as I looked on the collection portion on my credit report says i owe an excessive amount of {$750.00} while researching the bank that I never signed up for stated i opened it on XXXX  2023 which is totally false and the company called Midland credit management never called or in hand writing how much they bought my credit with excessive fees and I found out that it was a subcontract by destiny credit card which only gave me {$300.00} original credit, credit Midland Management charge me an extreme over excessive fees and is not complying with the original credit that I owe I was never acknowledged or read anything saying that it was gon na be double the price plus Excessive fees I would like to settled the original amount of {$300.00} and also I am a victim of XXXX XXXX"
